CredibleSet	LeadVariant	TargetGene	variant	chr	position	Coding	codingVariant	CellTypeOftheClosestECPeak	variantInClosestECPeak	RankOfGeneTSSDistanceToECPeakWithVariant	CellTypesWithEPInteractions	MaxABC.Score	MaxABCVariant	MaxABC.Rank	ECCellTypesWithEPInteractions	MaxABC.Score.EC	MacABCECVariant	MaxABC.Rank.ECOnly	lead_SNP_to_TSS_distance	rank_lead_SNP_to_TSS
CAD_Harst2017-rs2145598	rs2145598	ACTR10	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.036067	TRUE	4	NA	NA	NA	NA	-127169	6
CAD_Harst2017-rs2145598	rs2145598	ARID4A	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	CD3-positive_T_cell-Roadmap	0.051123	TRUE	3	eahy926	0.016487	TRUE	1	-28780	1
CAD_Harst2017-rs2145598	rs2145598	ARID4A	rs1051860	chr14	58838668	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-28780	1
CAD_Harst2017-rs2145598	rs2145598	ARID4A	rs1051861	chr14	58838701	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-28780	1
CAD_Harst2017-rs2145598	rs2145598	ARID4A	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	CD3-positive_T_cell-Roadmap	0.051123	TRUE	3	NA	NA	NA	NA	-28780	1
CAD_Harst2017-rs2145598	rs2145598	C14orf37	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.029451	TRUE	6	NA	NA	NA	NA	-175044	7
CAD_Harst2017-rs2145598	rs2145598	C14orf37	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.029451	TRUE	6	NA	NA	NA	NA	-175044	7
CAD_Harst2017-rs2145598	rs2145598	DACT1	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	CD3-positive_T_cell-Roadmap	0.016663	TRUE	8	NA	NA	NA	NA	310755	8
CAD_Harst2017-rs2145598	rs2145598	DACT1	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	CD3-positive_T_cell-Roadmap	0.016663	TRUE	8	NA	NA	NA	NA	310755	8
CAD_Harst2017-rs2145598	rs2145598	KIAA0586	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.032725	TRUE	5	NA	NA	NA	NA	100392	5
CAD_Harst2017-rs2145598	rs2145598	KIAA0586	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.032725	TRUE	5	NA	NA	NA	NA	100392	5
CAD_Harst2017-rs2145598	rs2145598	PSMA3	rs6573194	chr14	58712914	NA	NA	NA	NA	NA	GM12878-Roadmap	0.057069	TRUE	2	NA	NA	NA	NA	-82479	3
CAD_Harst2017-rs2145598	rs2145598	SLC35F4	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.021896	TRUE	7	NA	NA	NA	NA	-461409	9
CAD_Harst2017-rs2145598	rs2145598	SLC35F4	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.021896	TRUE	7	NA	NA	NA	NA	-461409	9
CAD_Harst2017-rs2145598	rs2145598	TIMM9	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.032725	TRUE	5	NA	NA	NA	NA	99959	4
CAD_Harst2017-rs2145598	rs2145598	TIMM9	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.032725	TRUE	5	NA	NA	NA	NA	99959	4
CAD_Harst2017-rs2145598	rs2145598	TOMM20L	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.061736	TRUE	1	eahy926	0.015188	TRUE	2	68642	2
CAD_Harst2017-rs2145598	rs2145598	TOMM20L	rs58231973	chr14	58797647	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.061736	TRUE	1	NA	NA	NA	NA	68642	2
CAD_Harst2017-rs2229357	rs2229357	INHBC	rs2229357	chr12	57843711	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-15244	3
CAD_Harst2017-rs2229357	rs2229357	INHBC	rs7964492	chr12	57823585	NA	NA	NA	NA	NA	T-cell-ENCODE	0.174166	TRUE	2	NA	NA	NA	NA	-15244	3
CAD_Harst2017-rs2229357	rs2229357	R3HDM2	rs7964492	chr12	57823585	NA	NA	NA	NA	NA	T-cell-ENCODE	0.231356	TRUE	1	NA	NA	NA	NA	-18923	4
CAD_Harst2017-rs2244608	rs2244608	HNF1A	rs1169288	chr12	121416650	TRUE	TRUE	NA	NA	NA	small_intestine_fetal-ENCODE	0.100677	TRUE	1	NA	NA	NA	NA	-618	1
CAD_Harst2017-rs2246942	rs2246942	ACTA2	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.044079	TRUE	7	NA	NA	NA	NA	-253732	8
CAD_Harst2017-rs2246942	rs2246942	ANKRD22	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.044965	TRUE	6	NA	NA	NA	NA	-393154	12
CAD_Harst2017-rs2246942	rs2246942	CH25H	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.069166	TRUE	2	NA	NA	NA	NA	-37815	2
CAD_Harst2017-rs2246942	rs2246942	FAS	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.044079	TRUE	7	NA	NA	NA	NA	-254571	9
CAD_Harst2017-rs2246942	rs2246942	IFIT1	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.063406	TRUE	3	NA	NA	NA	NA	147416	6
CAD_Harst2017-rs2246942	rs2246942	IFIT1B	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.034553	TRUE	10	NA	NA	NA	NA	132926	5
CAD_Harst2017-rs2246942	rs2246942	IFIT2	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_12h	0.038715	TRUE	8	NA	NA	NA	NA	56819	3
CAD_Harst2017-rs2246942	rs2246942	IFIT3	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.034528	TRUE	11	NA	NA	NA	NA	82689	4
CAD_Harst2017-rs2246942	rs2246942	IFIT5	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.045008	TRUE	5	NA	NA	NA	NA	169438	7
CAD_Harst2017-rs2246942	rs2246942	KIF20B	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.025468	TRUE	13	NA	NA	NA	NA	456460	16
CAD_Harst2017-rs2246942	rs2246942	LIPA	rs1332328	chr10	91011458	NA	NA	NA	NA	NA	CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.275207	TRUE	1	TeloHAEC_VEGF	0.144163	TRUE	1	6910	1
CAD_Harst2017-rs2246942	rs2246942	PANK1	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_12h	0.038056	TRUE	9	NA	NA	NA	NA	398762	13
CAD_Harst2017-rs2246942	rs2246942	SLC16A12	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	placenta-ENCODE	0.03046	TRUE	12	NA	NA	NA	NA	290427	10
CAD_Harst2017-rs2246942	rs2246942	STAMBPL1	rs1412445	chr10	91002804	NA	NA	NA	NA	NA	THP_pmaLPS_ATAC_48h	0.046219	TRUE	4	NA	NA	NA	NA	-364943	11
CAD_Harst2017-rs2258287	rs2258287	C12orf43	rs2258287	chr12	121454313	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.155211	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.155211	TRUE	1	-8	1
CAD_Harst2017-rs2258287	rs2258287	HNF1A	rs2259820	chr12	121435342	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-37943	3
CAD_Harst2017-rs2258287	rs2258287	HNF1A	rs2464196	chr12	121435427	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-37943	3
CAD_Harst2017-rs2258287	rs2258287	OASL	rs1169279	chr12	121455873	NA	NA	NA	NA	NA	K562-Roadmap	0.027675	TRUE	2	NA	NA	NA	NA	22732	2
CAD_Harst2017-rs2493298	rs2493298	PRDM16	rs2493292	chr1	3328659	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-340171	6
CAD_Harst2017-rs2571445	rs2571445	TNS1	rs2571445	chr2	218683154	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101805	2
CAD_Harst2017-rs2571445	rs2571445	TNS1	rs918949	chr2	218674697	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101805	2
CAD_Harst2017-rs2681472	rs2681472	ATP2B1	rs11105352	chr12	90026462	NA	NA	NA	NA	NA	HT29	0.02612	TRUE	1	NA	NA	NA	NA	40885	1
CAD_Harst2017-rs2681472	rs2681472	ATP2B1	rs11105353	chr12	90026463	NA	NA	NA	NA	NA	HT29	0.02612	TRUE	1	NA	NA	NA	NA	40885	1
CAD_Harst2017-rs2681472	rs2681472	ATP2B1	rs11105354	chr12	90026523	NA	NA	NA	NA	NA	HT29	0.02612	TRUE	1	NA	NA	NA	NA	40885	1
CAD_Harst2017-rs2681472	rs2681472	GALNT4	rs11105352	chr12	90026462	NA	NA	NA	NA	NA	LNCAP	0.015278	TRUE	3	NA	NA	NA	NA	-90376	3
CAD_Harst2017-rs2681472	rs2681472	GALNT4	rs11105353	chr12	90026463	NA	NA	NA	NA	NA	LNCAP	0.015278	TRUE	3	NA	NA	NA	NA	-90376	3
CAD_Harst2017-rs2681472	rs2681472	GALNT4	rs11105354	chr12	90026523	NA	NA	NA	NA	NA	LNCAP	0.015278	TRUE	3	NA	NA	NA	NA	-90376	3
CAD_Harst2017-rs2681472	rs2681472	POC1B	rs11105354	chr12	90026523	NA	NA	NA	NA	NA	HepG2-Roadmap	0.016153	TRUE	2	NA	NA	NA	NA	-88920	2
CAD_Harst2017-rs2681472	rs2681472	POC1B-GALNT4	rs11105354	chr12	90026523	NA	NA	NA	NA	NA	HepG2-Roadmap	0.016153	TRUE	2	NA	NA	NA	NA	-88920	2
CAD_Harst2017-rs2820315	rs2820315	ARL8A	rs2644107	chr1	201818629	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.017872	TRUE	7	endothelial_cell_of_umbilical_vein-Roadmap	0.017872	TRUE	5	241607	8
CAD_Harst2017-rs2820315	rs2820315	GPR37L1	rs2644107	chr1	201818629	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.019147	TRUE	6	endothelial_cell_of_umbilical_vein-Roadmap	0.019147	TRUE	4	219764	7
CAD_Harst2017-rs2820315	rs2820315	IPO9	rs2644109	chr1	201797535	NA	NA	NA	NA	NA	foreskin_fibroblast-Roadmap	0.154471	TRUE	1	TeloHAEC_VEGF	0.118798	TRUE	1	-73977	4
CAD_Harst2017-rs2820315	rs2820315	LMOD1	rs2644107	chr1	201818629	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.017787	TRUE	6	43452	2
CAD_Harst2017-rs2820315	rs2820315	LMOD1	rs2820312	chr1	201869257	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43452	2
CAD_Harst2017-rs2820315	rs2820315	LMOD1	rs8028	chr1	201865763	NA	NA	NA	NA	NA	adipose_tissue-ENCODE	0.026113	TRUE	4	NA	NA	NA	NA	43452	2
CAD_Harst2017-rs2820315	rs2820315	RNPEP	rs2644107	chr1	201818629	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.025837	TRUE	5	endothelial_cell_of_umbilical_vein-Roadmap	0.025837	TRUE	3	79501	5
CAD_Harst2017-rs2820315	rs2820315	SHISA4	rs2250377	chr1	201860626	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14460	1
CAD_Harst2017-rs2820315	rs2820315	SHISA4	rs2644107	chr1	201818629	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.034538	TRUE	2	-14460	1
CAD_Harst2017-rs2820315	rs2820315	SHISA4	rs8028	chr1	201865763	NA	NA	NA	NA	NA	adipose_tissue-ENCODE	0.041067	TRUE	2	NA	NA	NA	NA	-14460	1
CAD_Harst2017-rs2820315	rs2820315	TIMM17A	rs2644107	chr1	201818629	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.016999	TRUE	7	52354	3
CAD_Harst2017-rs2820315	rs2820315	TIMM17A	rs8028	chr1	201865763	NA	NA	NA	NA	NA	adipose_tissue-ENCODE	0.026404	TRUE	3	NA	NA	NA	NA	52354	3
CAD_Harst2017-rs2832227	rs2832227	BACH1	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.054441	TRUE	2	Eahy926_Ctrl	0.03664	TRUE	2	138039	4
CAD_Harst2017-rs2832227	rs2832227	BACH1-IT2	rs73193808	chr21	30535302	NA	NA	NA	NA	NA	dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017	0.087749	TRUE	1	eahy926	0.052569	TRUE	1	211744	7
CAD_Harst2017-rs2832227	rs2832227	CCT8	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.040446	TRUE	3	NA	NA	NA	NA	-86958	2
CAD_Harst2017-rs2832227	rs2832227	CCT8	rs73193808	chr21	30535302	NA	NA	NA	NA	NA	NA	NA	NA	NA	eahy926	0.018937	TRUE	3	-86958	2
CAD_Harst2017-rs2832227	rs2832227	LTN1	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.025774	TRUE	7	NA	NA	NA	NA	-167799	6
CAD_Harst2017-rs2832227	rs2832227	MAP3K7CL	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.040444	TRUE	4	NA	NA	NA	NA	-83285	1
CAD_Harst2017-rs2832227	rs2832227	MAP3K7CL	rs73193808	chr21	30535302	NA	NA	NA	NA	NA	NA	NA	NA	NA	eahy926	0.018935	TRUE	4	-83285	1
CAD_Harst2017-rs2832227	rs2832227	N6AMT1	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.034857	TRUE	5	NA	NA	NA	NA	-275381	8
CAD_Harst2017-rs2832227	rs2832227	RWDD2B	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.028004	TRUE	6	NA	NA	NA	NA	-141391	5
CAD_Harst2017-rs2832227	rs2832227	USP16	rs2056864	chr21	30568406	NA	NA	NA	NA	NA	CD14-positive_monocytes-Roadmap	0.025685	TRUE	8	NA	NA	NA	NA	-136139	3
CAD_Harst2017-rs28451064	rs28451064	MRPS6	rs28451064	chr21	35593827	NA	NA	NA	NA	NA	white_adipose-Loft2014	0.016429	TRUE	1	NA	NA	NA	NA	-148005	2
CAD_Harst2017-rs28451064	rs28451064	SLC5A3	rs28451064	chr21	35593827	NA	NA	NA	NA	NA	white_adipose-Loft2014	0.016429	TRUE	1	NA	NA	NA	NA	-148005	2
CAD_Harst2017-rs2891168	rs2891168	CDKN2A	rs1333042	chr9	22103813	NA	NA	NA	NA	NA	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.068003	TRUE	2	NA	NA	NA	NA	-123487	2
CAD_Harst2017-rs2891168	rs2891168	CDKN2A	rs1537373	chr9	22103341	NA	NA	NA	NA	NA	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.068003	TRUE	2	NA	NA	NA	NA	-123487	2
CAD_Harst2017-rs2891168	rs2891168	CDKN2B	rs1333042	chr9	22103813	NA	NA	NA	NA	NA	MCF-7-ENCODE	0.080813	TRUE	1	NA	NA	NA	NA	-89307	1
CAD_Harst2017-rs2891168	rs2891168	CDKN2B	rs1537373	chr9	22103341	NA	NA	NA	NA	NA	MCF-7-ENCODE	0.080813	TRUE	1	NA	NA	NA	NA	-89307	1
CAD_Harst2017-rs2891168	rs2891168	DMRTA1	rs1333042	chr9	22103813	NA	NA	NA	NA	NA	myotube-ENCODE	0.060831	TRUE	3	NA	NA	NA	NA	348220	4
CAD_Harst2017-rs2891168	rs2891168	DMRTA1	rs1537373	chr9	22103341	NA	NA	NA	NA	NA	myotube-ENCODE	0.060831	TRUE	3	NA	NA	NA	NA	348220	4
CAD_Harst2017-rs2891168	rs2891168	ELAVL2	rs1333042	chr9	22103813	NA	NA	NA	NA	NA	fibroblast_of_lung-Roadmap	0.039558	TRUE	5	NA	NA	NA	NA	1727444	5
CAD_Harst2017-rs2891168	rs2891168	ELAVL2	rs1537373	chr9	22103341	NA	NA	NA	NA	NA	fibroblast_of_lung-Roadmap	0.039558	TRUE	5	NA	NA	NA	NA	1727444	5
CAD_Harst2017-rs2891168	rs2891168	MTAP	rs1333042	chr9	22103813	NA	NA	NA	NA	NA	MCF-7-ENCODE	0.045666	TRUE	4	NA	NA	NA	NA	-295985	3
CAD_Harst2017-rs2891168	rs2891168	MTAP	rs1537373	chr9	22103341	NA	NA	NA	NA	NA	MCF-7-ENCODE	0.045666	TRUE	4	NA	NA	NA	NA	-295985	3
CAD_Harst2017-rs2954029	rs2954029	NSMCE2	rs2001844	chr8	126478745	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.021619	TRUE	2	NA	NA	NA	NA	-386890	2
CAD_Harst2017-rs2954029	rs2954029	NSMCE2	rs6982502	chr8	126479362	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.021619	TRUE	2	NA	NA	NA	NA	-386890	2
CAD_Harst2017-rs2954029	rs2954029	NSMCE2	rs6982636	chr8	126479315	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.021619	TRUE	2	NA	NA	NA	NA	-386890	2
CAD_Harst2017-rs2954029	rs2954029	TRIB1	rs2001844	chr8	126478745	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.027491	TRUE	1	NA	NA	NA	NA	-48410	1
CAD_Harst2017-rs2954029	rs2954029	TRIB1	rs6982502	chr8	126479362	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.027491	TRUE	1	NA	NA	NA	NA	-48410	1
CAD_Harst2017-rs2954029	rs2954029	TRIB1	rs6982636	chr8	126479315	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.027491	TRUE	1	NA	NA	NA	NA	-48410	1
CAD_Harst2017-rs2954029	rs2954029	WASHC5	rs2001844	chr8	126478745	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.021619	TRUE	2	NA	NA	NA	NA	-386911	3
CAD_Harst2017-rs2954029	rs2954029	WASHC5	rs6982502	chr8	126479362	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.021619	TRUE	2	NA	NA	NA	NA	-386911	3
CAD_Harst2017-rs2954029	rs2954029	WASHC5	rs6982636	chr8	126479315	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.021619	TRUE	2	NA	NA	NA	NA	-386911	3
CAD_Harst2017-rs3130683	rs3130683	C2	rs3128761	chr6	31879158	NA	NA	NA	NA	NA	fibroblast_of_arm-ENCODE	0.017812	TRUE	4	NA	NA	NA	NA	6886	1
CAD_Harst2017-rs3130683	rs3130683	EHMT2	rs3128761	chr6	31879158	NA	NA	NA	NA	NA	Eahy926_VEGF	0.019563	TRUE	2	Eahy926_VEGF	0.019563	TRUE	1	-22883	3
CAD_Harst2017-rs3130683	rs3130683	SLC44A4	rs9267658	chr6	31845985	NA	NA	NA	NA	NA	HT29	0.226287	TRUE	1	NA	NA	NA	NA	-41544	7
CAD_Harst2017-rs3130683	rs3130683	ZBTB12	rs3128761	chr6	31879158	NA	NA	NA	NA	NA	Eahy926_VEGF	0.01953	TRUE	3	Eahy926_VEGF	0.01953	TRUE	2	-18598	2
CAD_Harst2017-rs36096196	rs36096196	CFAP74	rs11806567	chr1	2251982	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.020782	TRUE	4	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.020782	TRUE	4	-316929	14
CAD_Harst2017-rs36096196	rs36096196	CFAP74	rs36096196	chr1	2252205	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.020782	TRUE	4	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.020782	TRUE	4	-316929	14
CAD_Harst2017-rs36096196	rs36096196	FAAP20	rs11806567	chr1	2251982	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027739	TRUE	2	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027739	TRUE	2	-125991	5
CAD_Harst2017-rs36096196	rs36096196	FAAP20	rs36096196	chr1	2252205	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027739	TRUE	2	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027739	TRUE	2	-125991	5
CAD_Harst2017-rs36096196	rs36096196	MORN1	rs11806567	chr1	2251982	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	70985	1
CAD_Harst2017-rs36096196	rs36096196	MORN1	rs36096196	chr1	2252205	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	70985	1
CAD_Harst2017-rs36096196	rs36096196	PEX10	rs11806567	chr1	2251982	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.019661	TRUE	5	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.019661	TRUE	5	91805	3
CAD_Harst2017-rs36096196	rs36096196	PEX10	rs36096196	chr1	2252205	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.019661	TRUE	5	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.019661	TRUE	5	91805	3
CAD_Harst2017-rs36096196	rs36096196	RER1	rs11806567	chr1	2251982	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	71008	2
CAD_Harst2017-rs36096196	rs36096196	RER1	rs36096196	chr1	2252205	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027483	TRUE	3	71008	2
CAD_Harst2017-rs36096196	rs36096196	SKI	rs11806567	chr1	2251982	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.039908	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.039908	TRUE	1	-92072	4
CAD_Harst2017-rs36096196	rs36096196	SKI	rs36096196	chr1	2252205	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.039908	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.039908	TRUE	1	-92072	4
CAD_Harst2017-rs3851738	rs3851738	ADAT1	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	epithelial_cell_of_prostate-ENCODE	0.078757	TRUE	10	TeloHAEC_IL1b	0.055441	TRUE	8	269688	12
CAD_Harst2017-rs3851738	rs3851738	BCAR1	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	epithelial_cell_of_prostate-ENCODE	0.259685	TRUE	2	TeloHAEC_IL1b	0.108697	TRUE	2	-102007	2
CAD_Harst2017-rs3851738	rs3851738	CFDP1	rs3743609	chr16	75467021	NA	NA	NA	NA	NA	H9-Roadmap	0.520103	TRUE	1	TeloHAEC_TNF	0.211497	TRUE	1	79854	1
CAD_Harst2017-rs3851738	rs3851738	CHST5	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.055941	TRUE	15	NA	NA	NA	NA	181535	7
CAD_Harst2017-rs3851738	rs3851738	CHST6	rs3743609	chr16	75467021	NA	NA	NA	NA	NA	H9-Roadmap	0.100176	TRUE	5	NA	NA	NA	NA	141393	5
CAD_Harst2017-rs3851738	rs3851738	CHST6	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_IL1b	0.06749	TRUE	3	141393	5
CAD_Harst2017-rs3851738	rs3851738	CTRB1	rs35787595	chr16	75466847	NA	NA	NA	NA	NA	CD8-positive_alpha-beta_T_cell-ENCODE	0.10463	TRUE	4	NA	NA	NA	NA	-134650	4
CAD_Harst2017-rs3851738	rs3851738	CTRB1	rs3743609	chr16	75467021	NA	NA	NA	NA	NA	CD8-positive_alpha-beta_T_cell-ENCODE	0.10463	TRUE	4	NA	NA	NA	NA	-134650	4
CAD_Harst2017-rs3851738	rs3851738	CTRB2	rs34673655	chr16	75323559	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_VEGF	0.055524	TRUE	7	-146461	6
CAD_Harst2017-rs3851738	rs3851738	CTRB2	rs4888376	chr16	75322573	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_VEGF	0.055524	TRUE	7	-146461	6
CAD_Harst2017-rs3851738	rs3851738	CTRB2	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.069261	TRUE	14	NA	NA	NA	NA	-146461	6
CAD_Harst2017-rs3851738	rs3851738	GABARAPL2	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	epithelial_cell_of_prostate-ENCODE	0.079647	TRUE	8	TeloHAEC_IL1b	0.054069	TRUE	9	212715	10
CAD_Harst2017-rs3851738	rs3851738	KARS	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	epithelial_cell_of_prostate-ENCODE	0.082397	TRUE	7	TeloHAEC_IL1b	0.05144	TRUE	10	294052	13
CAD_Harst2017-rs3851738	rs3851738	LDHD	rs4888379	chr16	75340231	NA	NA	NA	NA	NA	keratinocyte-Roadmap	0.070189	TRUE	12	TeloHAEC_IL1b	0.059689	TRUE	5	-236863	11
